UnixTime,Exchange
1549920010,3197.36
1549920002,3197.78
1549920002,3197.78
1549920001,3192.08
1549919985,3197.77
1549919984,3197.77
1549919973,3197.78
1549919966,3197.78
1549919951,3197.68
1549919945,3197.78
1549919924,3198.0
1549919923,3198.01
1549919902,3198.42
1549919897,3198.5
1549919874,3198.68
1549919870,3192.09
1549919870,3192.09
1549919869,3192.09
1549919867,3198.6
1549919864,3198.69
1549919854,3198.69
1549919835,3198.73
1549919835,3198.73
1549919832,3198.82
1549919824,3198.84
1549919814,3198.31
1549919814,3198.31
1549919805,3198.84
1549919794,3198.84
1549919793,3198.84
1549919790,3198.84
1549919777,3198.99
1549919769,3198.95
1549919760,3198.97
1549919747,3197.47
1549919745,3197.47
1549919734,3198.97
1549919725,3198.99
1549919717,3198.99
1549919713,3199.01
1549919705,3199.11
1549919704,3199.13
1549919684,3199.32
1549919683,3199.3
1549919673,3199.36
1549919662,3199.34
1549919657,3198.64
1549919656,3198.64
1549919652,3199.36
1549919646,3199.48
1549919634,3199.59
1549919630,3191.95
1549919627,3200.06
1549919614,3200.36
1549919614,3200.36
1549919605,3200.37
1549919594,3200.58
1549919594,3200.58
1549919593,3200.43
1549919585,3200.44
1549919574,3200.62
1549919567,3200.64
1549919554,3200.56
1549919554,3200.62
1549919544,3200.64
1549919541,3200.73
1549919539,3195.2
1549919528,3197.98
1549919527,3197.98
1549919506,3197.98
1549919504,3197.98
1549919493,3197.98
1549919484,3197.98
1549919475,3197.98
1549919465,3197.98
1549919464,3197.98
1549919464,3197.98
1549919464,3196.0
1549919445,3197.99
1549919444,3197.99
1549919434,3198.0
1549919422,3198.0
1549919419,3198.0
1549919405,3198.01
1549919394,3198.09
1549919383,3198.1
1549919375,3198.13
1549919373,3198.15
1549919344,3198.45
1549919234,3195.94
1549919233,3195.94
1549919210,3195.94
1549919206,3195.94
1549919136,3191.38
1549919102,3199.49
1549919002,3197.99
1549918965,3198.31
1549918935,3191.07
1549918917,3198.39
1549918917,3198.39
1549918907,3198.41
1549918883,3198.47
1549918866,3196.75
1549918866,3196.75
1549918846,3198.64
1549918835,3199.21
1549918834,3193.18
1549918813,3193.18
1549918794,3199.39
1549918793,3199.39
1549918791,3199.39
1549918783,3199.39
1549918779,3199.39
1549918775,3199.39
1549918764,3199.39
1549918763,3199.39
1549918763,3199.36
1549918755,3199.36
1549918753,3199.39
1549918735,3199.39
1549918734,3199.39
1549918723,3199.39
1549918714,3199.39
1549918705,3199.39
1549918693,3199.39
1549918689,3199.39
1549918679,3199.39
1549918673,3199.4
1549918664,3199.44
1549918663,3199.44
1549918660,3199.43
1549918659,3199.44
1549918658,3199.44
1549918658,3199.43
1549918658,3199.43
1549918658,3199.43
1549918658,3199.43
1549918644,3199.43
1549918643,3199.43
1549918634,3199.43
1549918625,3199.43
1549918616,3199.43
1549918604,3199.44
1549918604,3199.44
1549918585,3199.44
1549918582,3199.45
1549918573,3199.47
1549918555,3196.53
1549918554,3196.53
1549918543,3196.53
1549918534,3196.53
1549918525,3196.53
1549918514,3196.53
1549918513,3196.53
1549918512,3196.53
1549918511,3196.53
1549918507,3196.53
1549918505,3196.53
1549918496,3196.52
1549918484,3196.53
1549918483,3196.53
1549918481,3196.53
1549918474,3196.53
1549918463,3196.53
1549918453,3196.54
1549918446,3196.58
1549918445,3196.58
1549918445,3196.56
1549918445,3196.56
1549918443,3196.59
1549918441,3196.61
1549918434,3196.75
1549918413,3196.97
1549918409,3190.1
1549918405,3196.97
1549918383,3197.04
1549918375,3197.02
1549918347,3197.04
1549918340,3197.02
1549918332,3197.02
1549918316,3197.02
1549918295,3197.02
1549918275,3197.02
1549918257,3192.01
1549918257,3197.04
1549918255,3192.0
1549918248,3190.09
1549918243,3192.0
1549918243,3192.0
1549918236,3194.96
1549918232,3192.0
1549918225,3192.0
1549918225,3193.0
1549918224,3193.5
1549918210,3198.7
1549918185,3200.64
1549918165,3200.91
1549918146,3201.18
1549918125,3201.66
1549918104,3201.7
1549918095,3201.72
1549918075,3201.99
1549918056,3202.19
1549918040,3195.72
1549918032,3202.2
1549918019,3202.2
1549918002,3202.2
1549917989,3202.2
1549917972,3202.14
1549917934,3202.2
1549917932,3202.1
1549917921,3195.85
1549917901,3202.09
1549917875,3202.09
1549917863,3196.0
1549917863,3196.0
1549917862,3196.0
1549917862,3196.0
1549917853,3202.12
1549917808,3202.02
1549917789,3196.01
1549917733,3202.16
1549917717,3202.06
1549917675,3202.25
1549917674,3202.14
1549917665,3202.25
1549917664,3202.09
1549917663,3202.09
1549917627,3202.14
1549917627,3202.14
1549917596,3195.7
1549917583,3202.08
1549917541,3202.06
1549917466,3195.7
1549917454,3194.32
1549917453,3194.77
1549917453,3194.78
1549917453,3195.54
1549917453,3195.61
1549917453,3195.68
1549917453,3200.0
1549917453,3200.0
1549917453,3200.0
1549917451,3202.27
1549917375,3202.27
1549917304,3203.7
1549917302,3202.32
1549917270,3200.0
1549917256,3204.76
1549917208,3204.33
1549917208,3204.33
1549917146,3200.0
1549917146,3200.0
1549917108,3204.85
1549917095,3202.27
1549917043,3200.0
1549917013,3202.27
1549916990,3202.27
1549916980,3202.27
1549916967,3202.3
1549916941,3202.31
1549916894,3202.31
1549916833,3202.32
1549916832,3200.0
1549916831,3200.01
1549916764,3202.32
1549916735,3202.32
1549916731,3202.32
1549916684,3202.32
1549916648,3202.42
1549916594,3200.01
